stimulus_id,f0_name,f0_hz,cents,freq_hz,condition,wav_path,sample_rate,duration_sec
A3_minus_20c_pure,A3,220.0,-20,217.47308447763714,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_minus_20c_pure.wav,48000,1.0
A3_minus_20c_harmonic,A3,220.0,-20,217.47308447763714,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_minus_20c_harmonic.wav,48000,1.0
A3_minus_10c_pure,A3,220.0,-10,218.7328932398604,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_minus_10c_pure.wav,48000,1.0
A3_minus_10c_harmonic,A3,220.0,-10,218.7328932398604,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_minus_10c_harmonic.wav,48000,1.0
A3_minus_5c_pure,A3,220.0,-5,219.36553173360963,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_minus_5c_pure.wav,48000,1.0
A3_minus_5c_harmonic,A3,220.0,-5,219.36553173360963,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_minus_5c_harmonic.wav,48000,1.0
A3_minus_3c_pure,A3,220.0,-3,219.61909917142634,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_minus_3c_pure.wav,48000,1.0
A3_minus_3c_harmonic,A3,220.0,-3,219.61909917142634,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_minus_3c_harmonic.wav,48000,1.0
A3_minus_2c_pure,A3,220.0,-2,219.74599278236664,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_minus_2c_pure.wav,48000,1.0
A3_minus_2c_harmonic,A3,220.0,-2,219.74599278236664,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_minus_2c_harmonic.wav,48000,1.0
A3_minus_1c_pure,A3,220.0,-1,219.87295971110376,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_minus_1c_pure.wav,48000,1.0
A3_minus_1c_harmonic,A3,220.0,-1,219.87295971110376,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_minus_1c_harmonic.wav,48000,1.0
A3_0c_pure,A3,220.0,0,220.0,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_0c_pure.wav,48000,1.0
A3_0c_harmonic,A3,220.0,0,220.0,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_0c_harmonic.wav,48000,1.0
A3_plus_1c_pure,A3,220.0,1,220.12711369144208,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_plus_1c_pure.wav,48000,1.0
A3_plus_1c_harmonic,A3,220.0,1,220.12711369144208,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_plus_1c_harmonic.wav,48000,1.0
A3_plus_2c_pure,A3,220.0,2,220.2543008278412,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_plus_2c_pure.wav,48000,1.0
A3_plus_2c_harmonic,A3,220.0,2,220.2543008278412,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_plus_2c_harmonic.wav,48000,1.0
A3_plus_3c_pure,A3,220.0,3,220.3815614516331,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_plus_3c_pure.wav,48000,1.0
A3_plus_3c_harmonic,A3,220.0,3,220.3815614516331,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_plus_3c_harmonic.wav,48000,1.0
A3_plus_5c_pure,A3,220.0,5,220.63630333126076,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_plus_5c_pure.wav,48000,1.0
A3_plus_5c_harmonic,A3,220.0,5,220.63630333126076,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_plus_5c_harmonic.wav,48000,1.0
A3_plus_10c_pure,A3,220.0,10,221.27444703492776,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_plus_10c_pure.wav,48000,1.0
A3_plus_10c_harmonic,A3,220.0,10,221.27444703492776,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_plus_10c_harmonic.wav,48000,1.0
A3_plus_20c_pure,A3,220.0,20,222.55627686642296,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A3_plus_20c_pure.wav,48000,1.0
A3_plus_20c_harmonic,A3,220.0,20,222.55627686642296,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A3_plus_20c_harmonic.wav,48000,1.0
A4_minus_20c_pure,A4,440.0,-20,434.9461689552743,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_minus_20c_pure.wav,48000,1.0
A4_minus_20c_harmonic,A4,440.0,-20,434.9461689552743,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_minus_20c_harmonic.wav,48000,1.0
A4_minus_10c_pure,A4,440.0,-10,437.4657864797208,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_minus_10c_pure.wav,48000,1.0
A4_minus_10c_harmonic,A4,440.0,-10,437.4657864797208,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_minus_10c_harmonic.wav,48000,1.0
A4_minus_5c_pure,A4,440.0,-5,438.73106346721926,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_minus_5c_pure.wav,48000,1.0
A4_minus_5c_harmonic,A4,440.0,-5,438.73106346721926,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_minus_5c_harmonic.wav,48000,1.0
A4_minus_3c_pure,A4,440.0,-3,439.2381983428527,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_minus_3c_pure.wav,48000,1.0
A4_minus_3c_harmonic,A4,440.0,-3,439.2381983428527,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_minus_3c_harmonic.wav,48000,1.0
A4_minus_2c_pure,A4,440.0,-2,439.4919855647333,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_minus_2c_pure.wav,48000,1.0
A4_minus_2c_harmonic,A4,440.0,-2,439.4919855647333,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_minus_2c_harmonic.wav,48000,1.0
A4_minus_1c_pure,A4,440.0,-1,439.7459194222075,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_minus_1c_pure.wav,48000,1.0
A4_minus_1c_harmonic,A4,440.0,-1,439.7459194222075,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_minus_1c_harmonic.wav,48000,1.0
A4_0c_pure,A4,440.0,0,440.0,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_0c_pure.wav,48000,1.0
A4_0c_harmonic,A4,440.0,0,440.0,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_0c_harmonic.wav,48000,1.0
A4_plus_1c_pure,A4,440.0,1,440.25422738288415,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_plus_1c_pure.wav,48000,1.0
A4_plus_1c_harmonic,A4,440.0,1,440.25422738288415,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_plus_1c_harmonic.wav,48000,1.0
A4_plus_2c_pure,A4,440.0,2,440.5086016556824,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_plus_2c_pure.wav,48000,1.0
A4_plus_2c_harmonic,A4,440.0,2,440.5086016556824,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_plus_2c_harmonic.wav,48000,1.0
A4_plus_3c_pure,A4,440.0,3,440.7631229032662,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_plus_3c_pure.wav,48000,1.0
A4_plus_3c_harmonic,A4,440.0,3,440.7631229032662,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_plus_3c_harmonic.wav,48000,1.0
A4_plus_5c_pure,A4,440.0,5,441.2726066625215,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_plus_5c_pure.wav,48000,1.0
A4_plus_5c_harmonic,A4,440.0,5,441.2726066625215,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_plus_5c_harmonic.wav,48000,1.0
A4_plus_10c_pure,A4,440.0,10,442.5488940698555,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_plus_10c_pure.wav,48000,1.0
A4_plus_10c_harmonic,A4,440.0,10,442.5488940698555,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_plus_10c_harmonic.wav,48000,1.0
A4_plus_20c_pure,A4,440.0,20,445.1125537328459,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A4_plus_20c_pure.wav,48000,1.0
A4_plus_20c_harmonic,A4,440.0,20,445.1125537328459,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A4_plus_20c_harmonic.wav,48000,1.0
A5_minus_20c_pure,A5,880.0,-20,869.8923379105486,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_minus_20c_pure.wav,48000,1.0
A5_minus_20c_harmonic,A5,880.0,-20,869.8923379105486,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_20c_harmonic.wav,48000,1.0
A5_minus_10c_pure,A5,880.0,-10,874.9315729594416,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_minus_10c_pure.wav,48000,1.0
A5_minus_10c_harmonic,A5,880.0,-10,874.9315729594416,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_10c_harmonic.wav,48000,1.0
A5_minus_5c_pure,A5,880.0,-5,877.4621269344385,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_minus_5c_pure.wav,48000,1.0
A5_minus_5c_harmonic,A5,880.0,-5,877.4621269344385,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_5c_harmonic.wav,48000,1.0
A5_minus_3c_pure,A5,880.0,-3,878.4763966857054,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_minus_3c_pure.wav,48000,1.0
A5_minus_3c_harmonic,A5,880.0,-3,878.4763966857054,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_3c_harmonic.wav,48000,1.0
A5_minus_2c_pure,A5,880.0,-2,878.9839711294666,pure,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/pure/A5_minus_2c_pure.wav,48000,1.0
A5_minus_2c_harmonic,A5,880.0,-2,878.9839711294666,harmonic,C:/Users/cebal/Desktop/network_modeling_research/data/stimuli_v2/harmonic/A5_minus_2c_harmonic.wav,48000,1.0
