layer,layer_name,pairs_all,slope_all,pearson_r_all,pairs_pure,slope_pure,pearson_r_pure,pairs_harm,slope_harm,pearson_r_harm,pairs_cross,slope_cross,pearson_r_cross,curv_p_n,curv_p_mean_deg,curv_h_n,curv_h_mean_deg
0,block_00,3003,0.00040499528130169955,0.022666043266618315,741,9.727346646591231e-05,0.034433861318823034,741,0.0013521093062282266,0.08953450148820002,1521,0.00045975569974664545,0.03940009542504971,37,117.39659976864388,37,121.50039854744035
1,block_01,3003,7.884257577670042e-05,0.0049679936413829255,741,-0.00016601597011493407,-0.04398174411304317,741,0.0008624589258099927,0.06536540956496607,1521,0.00015758135827605616,0.01599809372876323,37,117.7188983313041,37,121.06848797314319
2,block_02,3003,-3.3706631342050036e-05,-0.002279631499017229,741,-0.00028332979613123567,-0.06353845174769868,741,0.0005073718644098939,0.04491905237304936,1521,0.0001415879117516475,0.013904414008747139,37,117.09655700907793,37,120.77915903142272
3,block_03,3003,-0.00013265436793280148,-0.009836858169677762,741,-0.00047553604277665167,-0.07335322565158274,741,0.00042575212533670575,0.04003889581529049,1521,4.479834704044663e-05,0.004728372557702986,37,116.88674793593324,37,120.56529620716142
4,block_04,3003,-0.00013086005969408957,-0.010056353679238348,741,-0.0006152635249372713,-0.08165981315142734,741,0.00047075226110966114,0.0489917701455592,1521,8.824064592509062e-05,0.00972772246954391,37,116.96342624238322,37,120.18276938027712
5,block_05,3003,-0.00016757236922337678,-0.016544016559650536,741,-0.0005223294784342128,-0.08584923219101125,741,0.0003639466841527505,0.04814088618050263,1521,-4.355219040422432e-05,-0.005955915920136869,37,116.91323782334935,37,119.91554465023142
6,block_06,3003,-0.00027345020854808484,-0.024594783805784528,741,-0.0005496087475246196,-0.08288837514052241,741,0.00015948080534979647,0.01943145683478995,1521,-0.00012040458117538018,-0.014759298314885549,37,116.79506723909971,37,119.73602982821062
7,block_07,3003,-0.0003969923468785933,-0.03626444698037406,741,-0.0007398459267998638,-0.10030184217205068,741,2.8279271562477544e-05,0.003599265285375538,1521,-0.0002121941696832998,-0.026780066400206068,37,116.6472295444059,37,119.68584673325081
8,block_08,3003,-0.00042094792097755357,-0.03904026382087603,741,-0.0007898346567911005,-0.10452908509154651,741,-3.510537220946614e-05,-0.004166220016756663,1521,-0.0002102738395145091,-0.02823681633972627,37,116.64281224882457,37,119.37167315878098
9,block_09,3003,-0.0003324191410606286,-0.03193223869401664,741,-0.0007878600975594458,-0.10165804851267966,741,0.00013325889933432641,0.015939090778233505,1521,-0.00013248588033523912,-0.01824290179565167,37,116.27093251210731,37,119.46717844979581
10,block_10,3003,-0.000327764034330385,-0.03318463234625934,741,-0.0007330289818220169,-0.09828210890412284,741,0.00018000776720547592,0.023469286498651536,1521,-0.00017765141446087016,-0.02658932224286054,37,116.0223337300212,37,119.81837374008484
11,block_11,3003,-0.0002779386120211031,-0.034573314763089495,741,-0.000609850038740813,-0.10205504813031722,741,0.00013222647683705277,0.021503700402866498,1521,-0.00016473597620310867,-0.026476848964510285,37,116.5183556584056,37,119.58361926651705
