layer,layer_name,pairs_all,slope_all,pearson_r_all,pairs_pure,slope_pure,pearson_r_pure,pairs_harm,slope_harm,pearson_r_harm,pairs_cross,slope_cross,pearson_r_cross,curv_p_n,curv_p_mean_deg,curv_h_n,curv_h_mean_deg
0,rvq_00,3003,-1.7281882411996377e-05,-0.024560934637824442,741,-8.327292617458403e-06,-0.025304149548982188,741,-1.5257358855223924e-05,-0.02614425873264881,1521,-1.1370356066134427e-05,-0.016799524885133994,37,119.64118652961989,35,122.59773575115219
1,rvq_01,3003,-2.9075386446374055e-05,-0.026181908410845275,741,-2.2870938569333824e-05,-0.023894240155869783,741,-3.559040710152732e-05,-0.03453118281944524,1521,-1.1544151502757883e-05,-0.01312164448187729,37,120.78295023800564,37,120.04022230074116
2,rvq_02,3003,-2.165161964234003e-05,-0.018020865561907035,741,-3.43990657849586e-05,-0.03420072012449786,741,-3.440451220217775e-05,-0.03004558764107572,1521,8.282909713465114e-06,0.008312625029933159,37,120.65489764182625,37,121.11377320763367
3,rvq_03,3003,-1.5239587476658286e-05,-0.01180814423041595,741,-2.5400525756755403e-05,-0.02219882104284497,741,-2.830523144438905e-05,-0.0235546074353316,1521,1.5310016204029005e-05,0.014706698346428657,37,120.40289410607204,37,120.978645491101
4,rvq_04,3003,-2.1806235050684616e-05,-0.015859589018636495,741,-2.6267728086244948e-05,-0.022760937394994712,741,-3.5615269236363656e-05,-0.02804088855887172,1521,8.200544159650233e-06,0.007336150181397456,37,120.22820355687513,37,120.3029958982383
5,rvq_05,3003,-2.6558424620006164e-05,-0.01854295996175373,741,-3.0920634832411664e-05,-0.02583866930317084,741,-4.052728381351525e-05,-0.030273971407955645,1521,4.133249091068741e-06,0.003543434954398447,37,120.41980074633297,37,120.39332126184628
6,rvq_06,3003,-2.8284460928767866e-05,-0.0194622714242179,741,-3.4624184743394166e-05,-0.02848839141866673,741,-4.2337983323524106e-05,-0.031178341023303933,1521,3.6054099980638988e-06,0.0030331219851973215,37,120.4665843009217,37,120.72207804761604
7,rvq_07,3003,-2.774809807252183e-05,-0.018871442038860667,741,-3.2663376634419096e-05,-0.02706821793434223,741,-4.3533959765198284e-05,-0.031575190704624584,1521,4.475498089891619e-06,0.003693476855073743,37,120.90940337832122,37,120.73935565105327
8,rvq_08,3003,-3.102180594886791e-05,-0.020899618180950114,741,-3.4644773520245776e-05,-0.02881423894951538,741,-4.712626624842417e-05,-0.03360389161171602,1521,8.244643376951677e-07,0.0006716751751064196,37,121.11798051628611,37,120.92746115809754
9,rvq_09,3003,-3.3256324137044253e-05,-0.022276431096402684,741,-3.711499358100075e-05,-0.030728646160694036,741,-4.7441190228693456e-05,-0.03349263512154337,1521,-2.2529178425767127e-06,-0.0018201738987317633,37,121.28582488053168,37,121.14988835783694
10,rvq_10,3003,-3.373782421952255e-05,-0.02248580322785681,741,-3.8773048231506906e-05,-0.03217999628904614,741,-4.667122987401178e-05,-0.0328355069221581,1521,-2.7055397781347857e-06,-0.002163131870535068,37,121.16776094471001,37,121.44378901587916
11,rvq_11,3003,-3.294116438274013e-05,-0.02188807538096338,741,-3.9452739209463024e-05,-0.032841464772791124,741,-4.5091845337054614e-05,-0.031482477563131904,1521,-1.548561002041041e-06,-0.0012342548166988175,37,121.27156525129797,37,121.36787845796813
